Year,Keyword,Growth
2001,Terrorism,9092.0
2001,AIRLINES AND AIRPLANES,7811.0
2001,World Trade Center (NYC),7315.0
2001,Hijacking,7219.0
2001,New York City,7106.0
2001,Washington (DC),6053.0
2001,UNITED STATES ARMAMENT AND DEFENSE,4315.0
2001,Pentagon Building,3767.0
2001,Missing Persons,2543.0
2001,United States International Relations,2464.0
2002,Ethics,1535.0
2002,ACCOUNTING AND ACCOUNTANTS,1474.0
2002,Iraq,1310.0
2002,ATOMIC WEAPONS,868.0
2002,Enron Corp,843.0
2002,Bankruptcies,831.0
2002,Sex Crimes,787.0
2002,"Bloomberg, Michael R",760.0
2002,Priests,681.0
2002,Palestinians,674.0
2003,Iraq,5807.0
2003,UNITED STATES ARMAMENT AND DEFENSE,4497.0
2003,United States International Relations,3934.0
2003,ATOMIC WEAPONS,2833.0
2003,Biological and Chemical Warfare,2559.0
2003,"Hussein, Saddam",948.0
2003,Presidential Election of 2004,932.0
2003,"Bush, George W",704.0
2003,ADVERTISING AND MARKETING,691.0
2003,Baghdad (Iraq),571.0
2004,Presidential Election of 2004,3889.0
2004,"Kerry, John",2102.0
2004,ELECTION ISSUES,1784.0
2004,"Bush, George W",1350.0
2004,Presidential Elections (US),1349.0
2004,"Conventions, National (US)",787.0
2004,Politics and Government,776.0
2004,"Kerry, John F",718.0
2004,Elections,647.0
2004,ADVERTISING AND MARKETING,575.0
2005,HURRICANE KATRINA,863.0
2005,Hurricanes and Tropical Storms,555.0
2005,New Orleans (La),521.0
2005,Classical Music,458.0
2005,Travel and Vacations,448.0
2005,Brooklyn (NYC),421.0
2005,Manhattan (NYC),419.0
2005,KATRINA (STORM),397.0
2005,Real Estate,358.0
2005,Mayors,348.0
2006,New York City,3938.0
2006,United States Politics and Government,2764.0
2006,Books and Literature,2205.0
2006,Computers and the Internet,1845.0
2006,New York State,1650.0
2006,Iraq,1527.0
2006,Terrorism,1500.0
2006,Baseball,1440.0
2006,Politics and Government,1405.0
2006,United States,1397.0
2007,Presidential Election of 2008,1332.0
2007,Mortgages,337.0
2007,"Obama, Barack",305.0
2007,Athletics and Sports,304.0
2007,"Giuliani, Rudolph W",243.0
2007,United States Attorneys,169.0
2007,"Edwards, John",168.0
2007,Families and Family Life,151.0
2007,"Romney, Mitt",149.0
2007,ALBANY (NY),149.0
